solution_id,distance,offroad_count,roughness_sum,num_waypoints,is_selected_balanced
1,1025.1290757631377,45.0,641.8399999999972,865,False
2,1061.7148622007646,15.0,637.8799999999972,902,True
3,1064.8864350760184,10.0,643.079999999997,906,False
4,1070.6437943888993,3.0,646.719999999997,913,False
5,1072.643794388899,1.0,648.5599999999969,915,False
