solution_id,construction,environmental,geometry,num_waypoints,is_selected_balanced
1,327.33035741488777,209.52875667651423,55.367624831047024,757,False
2,340.5039350579132,218.27120051007174,47.967446529014055,797,True
3,352.30171170506276,227.827669636055,41.13277212240041,846,False
4,364.00130477699145,230.71549630602655,34.427884066567515,878,False
